date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:26	137/137	---M-Z	200	added ('OK')	text/plain	etag:%2210267-1645644091;gz%22	https://belledenavy.com/robots.txt		(from )
10:57:26	132464/132464	---MCZ	200	added ('OK')	text/html	etag:%2210195-1645528051;gz%22	https://belledenavy.com/	/home/marascientific/websites/sample%20website/belledenavy.com/index.html	(from )
10:57:27	5842/5842	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202022%2007:57:52%20GMT	http://gmpg.org/xfn/11	/home/marascientific/websites/sample%20website/gmpg.org/xfn/11.html	(from https://belledenavy.com/)
10:57:31	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2001%20Mar%202022%2007:57:56%20GMT	https://belledenavy.com/xmlrpc.php	/home/marascientific/websites/sample%20website/belledenavy.com/xmlrpc.php	(from https://belledenavy.com/)
10:57:32	13885/13885	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Nov%202021%2014:28:37%20GMT	https://belledenavy.com/wp-content/uploads/2021/10/newest-bd-logo.png	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/uploads/2021/10/newest-bd-logo.png	(from https://belledenavy.com/)
10:57:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Mar%202022%2007:57:58%20GMT	http://stats.wp.com/	/home/marascientific/websites/sample%20website/stats.wp.com/index.html	(from https://belledenavy.com/)
10:57:34	77226/77226	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202022%2007:57:57%20GMT	http://s.w.org/	/home/marascientific/websites/sample%20website/s.w.org/index.html	(from https://belledenavy.com/)
10:57:34	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Mar%202022%2007:57:58%20GMT	http://i0.wp.com/	/home/marascientific/websites/sample%20website/i0.wp.com/index.html	(from https://belledenavy.com/)
10:57:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Mar%202022%2007:57:59%20GMT	http://c0.wp.com/	/home/marascientific/websites/sample%20website/c0.wp.com/index.html	(from https://belledenavy.com/)
10:57:34	80574/80574	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Sep%202021%2004:05:58%20GMT	https://c0.wp.com/c/5.8.2/wp-includes/css/dist/block-library/style.min.css	/home/marascientific/websites/sample%20website/c0.wp.com/c/5.8.2/wp-includes/css/dist/block-library/style.min.css	(from https://belledenavy.com/)
10:57:34	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/5.8.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	/home/marascientific/websites/sample%20website/c0.wp.com/c/5.8.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://belledenavy.com/)
10:57:35	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202022%2007:57:59%20GMT	https://fonts.gstatic.com/	/home/marascientific/websites/sample%20website/fonts.gstatic.com/index.html	(from https://belledenavy.com/)
10:57:36	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/5.8.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	/home/marascientific/websites/sample%20website/c0.wp.com/c/5.8.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://belledenavy.com/)
10:57:37	5305/5305	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Aug%202021%2020:39:36%20GMT	https://c0.wp.com/p/woocommerce/6.1.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	/home/marascientific/websites/sample%20website/c0.wp.com/p/woocommerce/6.1.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from https://belledenavy.com/)
10:57:38	1241/1241	---M-Z	200	added ('OK')	application/rss+xml	etag:%2240e0122f514e39b5583f08793d6f2f18%22	https://belledenavy.com/feed/	/home/marascientific/websites/sample%20website/belledenavy.com/feed/index.html	(from https://belledenavy.com/)
10:57:38	2466/2466	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fb0e46544fe23f57e48906a34b584700%22	https://belledenavy.com/comments/feed/	/home/marascientific/websites/sample%20website/belledenavy.com/comments/feed/index.html	(from https://belledenavy.com/)
10:57:38	197726/197726	---MCZ	200	added ('OK')	text/css	date:Tue,%2021%20Dec%202021%2019:24:57%20GMT	https://c0.wp.com/p/woocommerce/6.1.0/packages/woocommerce-blocks/build/wc-blocks-style.css	/home/marascientific/websites/sample%20website/c0.wp.com/p/woocommerce/6.1.0/packages/woocommerce-blocks/build/wc-blocks-style.css	(from https://belledenavy.com/)
10:57:40	38850/38850	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:37%20GMT	https://belledenavy.com/wp-content/themes/goya/assets/css/grid.css?ver=1.0.6.5	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/themes/goya/assets/css/grid86e7.css	(from https://belledenavy.com/)
10:57:41	247614/247614	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:37%20GMT	https://belledenavy.com/wp-content/themes/goya/assets/css/core.css?ver=1.0.6.5	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/themes/goya/assets/css/core86e7.css	(from https://belledenavy.com/)
10:57:41	3859/3859	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:37%20GMT	https://belledenavy.com/wp-content/themes/goya/assets/icons/theme-icons/style.css?ver=1.0.6.5	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/themes/goya/assets/icons/theme-icons/style86e7.css	(from https://belledenavy.com/)
10:57:43	262223/262223	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:37%20GMT	https://belledenavy.com/wp-content/themes/goya/assets/css/shop.css?ver=1.0.6.5	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/themes/goya/assets/css/shop86e7.css	(from https://belledenavy.com/)
10:57:43	72122/72122	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:37%20GMT	https://belledenavy.com/wp-content/themes/goya/assets/css/vc-elements.css?ver=1.0.6.5	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/themes/goya/assets/css/vc-elements86e7.css	(from https://belledenavy.com/)
10:57:45	485496/485496	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:38%20GMT	https://belledenavy.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.7.0	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/plugins/js_composer/assets/css/js_composer.minbdeb.css	(from https://belledenavy.com/)
10:57:45	16202/16202	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:38%20GMT	https://belledenavy.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend.min.css?ver=1.1.19	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend.min573a.css	(from https://belledenavy.com/)
10:57:46	7305/7305	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:38%20GMT	https://belledenavy.com/wp-content/plugins/woo-variation-swatches/assets/css/wvs-theme-override.min.css?ver=1.1.19	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/plugins/woo-variation-swatches/assets/css/wvs-theme-override.min573a.css	(from https://belledenavy.com/)
10:57:47	3099/3099	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2014:28:38%20GMT	https://belledenavy.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend-tooltip.min.css?ver=1.1.19	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/plugins/woo-variation-swatches/assets/css/frontend-tooltip.min573a.css	(from https://belledenavy.com/)
10:57:49	87940/87940	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2022:15:08%20GMT	https://c0.wp.com/p/jetpack/10.6/css/jetpack.css	/home/marascientific/websites/sample%20website/c0.wp.com/p/jetpack/10.6/css/jetpack.css	(from https://belledenavy.com/)
10:57:50	89521/89521	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2015:07:24%20GMT	https://c0.wp.com/c/5.8.2/wp-includes/js/jquery/jquery.min.js	/home/marascientific/websites/sample%20website/c0.wp.com/c/5.8.2/wp-includes/js/jquery/jquery.min.js	(from https://belledenavy.com/)
10:57:51	11224/11224	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://c0.wp.com/c/5.8.2/wp-includes/js/jquery/jquery-migrate.min.js	/home/marascientific/websites/sample%20website/c0.wp.com/c/5.8.2/wp-includes/js/jquery/jquery-migrate.min.js	(from https://belledenavy.com/)
10:57:51	11905/11905	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Nov%202021%2014:28:38%20GMT	https://belledenavy.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.1.0	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.minafbb.js	(from https://belledenavy.com/)
10:57:53	9533/9533	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Nov%202021%2022:30:13%20GMT	https://c0.wp.com/p/woocommerce/6.1.0/assets/js/jquery-blockui/jquery.blockUI.min.js	/home/marascientific/websites/sample%20website/c0.wp.com/p/woocommerce/6.1.0/assets/js/jquery-blockui/jquery.blockUI.min.js	(from https://belledenavy.com/)
10:57:54	3037/3037	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Sep%202020%2021:16:49%20GMT	https://c0.wp.com/p/woocommerce/6.1.0/assets/js/frontend/add-to-cart.min.js	/home/marascientific/websites/sample%20website/c0.wp.com/p/woocommerce/6.1.0/assets/js/frontend/add-to-cart.min.js	(from https://belledenavy.com/)
10:57:54	992/992	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2020%20Nov%202021%2014:28:38%20GMT	https://belledenavy.com/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=6.7.0	/home/marascientific/websites/sample%20website/belledenavy.com/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cartbdeb.js	(from https://belledenavy.com/)
